T,rho_mean,rho_std
1.000000,0.966850,0.004497
1.050000,0.985900,0.002406
1.100000,0.987350,0.003664
1.150000,0.985700,0.003938
1.200000,0.921700,0.017779
1.250000,0.932150,0.011816
1.300000,0.943950,0.015730
1.350000,0.945900,0.016849
1.400000,0.944500,0.020507
1.450000,0.970000,0.012170
1.500000,0.981350,0.005052
1.550000,0.983950,0.007242
1.600000,0.982600,0.007200
1.650000,0.984850,0.006255
1.700000,0.967750,0.010401
1.750000,0.966700,0.011854
1.800000,0.974500,0.011066
1.850000,0.975900,0.011406
1.900000,0.972550,0.009458
1.950000,0.973300,0.012264
2.000000,0.024100,0.015754
