T,rho_mean,rho_std
1.000000,0.967380,0.004004
1.020000,0.985040,0.003072
1.040000,0.986280,0.003000
1.060000,0.986680,0.003349
1.080000,0.985200,0.003852
1.100000,0.986360,0.003714
1.120000,0.986060,0.002803
1.140000,0.986400,0.003000
1.160000,0.986580,0.003131
1.180000,0.923740,0.021123
1.200000,0.923540,0.014593
1.220000,0.942940,0.016402
1.240000,0.940940,0.016343
1.260000,0.944720,0.019594
1.280000,0.944800,0.014801
1.300000,0.942260,0.016847
1.320000,0.941220,0.020300
1.340000,0.946880,0.013757
1.360000,0.947740,0.013560
1.380000,0.944520,0.014379
1.400000,0.951220,0.014174
1.420000,0.974920,0.008865
1.440000,0.971580,0.013373
1.460000,0.974680,0.013033
1.480000,0.975920,0.011375
1.500000,0.981660,0.008226
1.520000,0.984040,0.006931
1.540000,0.982420,0.007023
1.560000,0.984400,0.006089
1.580000,0.981820,0.007135
1.600000,0.981160,0.005787
1.620000,0.982600,0.006997
1.640000,0.983200,0.006060
1.660000,0.982720,0.007264
1.680000,0.968700,0.011795
1.700000,0.964940,0.012399
1.720000,0.967700,0.008561
1.740000,0.966680,0.011904
1.760000,0.974720,0.011500
1.780000,0.973820,0.010318
1.800000,0.972820,0.012683
1.820000,0.975360,0.012803
1.840000,0.972440,0.015551
1.860000,0.974740,0.011032
1.880000,0.934900,0.191255
1.900000,0.955300,0.136928
1.920000,0.955100,0.136855
1.940000,0.974460,0.013352
1.960000,0.976160,0.011320
1.980000,0.972120,0.014521
2.000000,0.030120,0.017449
